MATCH_ID,SEASON,CITY,DATE,TEAM1,TEAM2,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER
522,2015,Kolkata,11/04/15,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
523,2015,Delhi,12/04/15,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals
524,2015,Mumbai,12/04/15,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab
525,2015,Bangalore,13/04/15,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad
526,2015,Ahmedabad,14/04/15,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Rajasthan Royals
527,2015,Kolkata,30/04/15,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders
528,2015,Pune,15/04/15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,Delhi Daredevils
529,2015,Visakhapatnam,16/04/15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals
530,2015,Mumbai,17/04/15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Chennai Super Kings
531,2015,Visakhapatnam,18/04/15,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,Delhi Daredevils
532,2015,Pune,18/04/15,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders
533,2015,Ahmedabad,19/04/15,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals
534,2015,Bangalore,19/04/15,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians
535,2015,Delhi,20/04/15,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders
536,2015,Ahmedabad,21/04/15,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,tie,Kings XI Punjab
537,2015,Visakhapatnam,22/04/15,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad
538,2015,Bangalore,22/04/15,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Chennai Super Kings
539,2015,Delhi,23/04/15,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,Delhi Daredevils
540,2015,Ahmedabad,24/04/15,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
541,2015,Mumbai,25/04/15,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,Mumbai Indians
542,2015,Chennai,25/04/15,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings
543,2015,Delhi,26/04/15,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
544,2015,Chandigarh,27/04/15,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad
545,2015,Kolkata,07/05/15,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders
546,2015,Bangalore,29/04/15,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,
547,2015,Chennai,28/04/15,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Chennai Super Kings
548,2015,Delhi,01/05/15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils
549,2015,Mumbai,01/05/15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians
550,2015,Bangalore,02/05/15,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore
551,2015,Hyderabad,02/05/15,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Sunrisers Hyderabad
552,2015,Chandigarh,03/05/15,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Mumbai Indians
553,2015,Mumbai,03/05/15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals
554,2015,Chennai,04/05/15,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings
555,2015,Kolkata,04/05/15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders
556,2015,Mumbai,05/05/15,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,Mumbai Indians
557,2015,Bangalore,06/05/15,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore
558,2015,Mumbai,07/05/15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Sunrisers Hyderabad
559,2015,Chennai,08/05/15,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Mumbai Indians
560,2015,Kolkata,09/05/15,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders
561,2015,Raipur,09/05/15,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad
562,2015,Mumbai,10/05/15,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore
563,2015,Chennai,10/05/15,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Chennai Super Kings
564,2015,Hyderabad,11/05/15,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad
565,2015,Raipur,12/05/15,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils
566,2015,Chandigarh,13/05/15,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kings XI Punjab
567,2015,Mumbai,14/05/15,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians
568,2015,Hyderabad,15/05/15,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,Royal Challengers Bangalore
569,2015,Chandigarh,16/05/15,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,Chennai Super Kings
570,2015,Mumbai,16/05/15,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals
571,2015,Bangalore,17/05/15,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,
572,2015,Hyderabad,17/05/15,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians
573,2015,Mumbai,19/05/15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians
574,2015,Pune,20/05/15,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore
575,2015,Ranchi,22/05/15,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings
576,2015,Kolkata,24/05/15,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians
